1769397841.528271 server started (2085773): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1769397841.528299 on Linux 6.14.0-37-generic #37~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov 20 10:25:38 UTC 2
1769397841.528308 using libevent 2.1.12-stable poll
1769397841.528312 using ncurses 6.4 20240113
1769397841.528386 input_key_build: 0x10e003 (PasteStart) is \033[200~
1769397841.528393 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1769397841.528397 input_key_build: 0x10e195 (F1) is \033OP
1769397841.528401 input_key_build: 0x10e196 (F2) is \033OQ
1769397841.528409 input_key_build: 0x10e197 (F3) is \033OR
1769397841.528412 input_key_build: 0x10e198 (F4) is \033OS
1769397841.528415 input_key_build: 0x10e199 (F5) is \033[15~
1769397841.528419 input_key_build: 0x10e19a (F6) is \033[17~
1769397841.528422 input_key_build: 0x10e19b (F7) is \033[18~
1769397841.528432 input_key_build: 0x10e19c (F8) is \033[19~
1769397841.528437 input_key_build: 0x10e19d (F9) is \033[20~
1769397841.528440 input_key_build: 0x10e19e (F10) is \033[21~
1769397841.528443 input_key_build: 0x10e19f (F11) is \033[23~
1769397841.528446 input_key_build: 0x10e1a0 (F12) is \033[24~
1769397841.528450 input_key_build: 0x10e1a1 (IC) is \033[2~
1769397841.528453 input_key_build: 0x10e1a2 (DC) is \033[3~
1769397841.528456 input_key_build: 0x10e1a3 (Home) is \033[1~
1769397841.528459 input_key_build: 0x10e1a4 (End) is \033[4~
1769397841.528462 input_key_build: 0x10e1a5 (NPage) is \033[6~
1769397841.528466 input_key_build: 0x10e1a6 (PPage) is \033[5~
1769397841.528469 input_key_build: 0x10e1a7 (BTab) is \033[Z
1769397841.528476 input_key_build: 0x10e1a8 (Up) is \033[A
1769397841.528480 input_key_build: 0x10e1a9 (Down) is \033[B
1769397841.528485 input_key_build: 0x10e1aa (Left) is \033[D
1769397841.528488 input_key_build: 0x10e1ab (Right) is \033[C
1769397841.528492 input_key_build: 0x10e1ac (KP/) is /
1769397841.528497 input_key_build: 0x10e1ad (KP*) is *
1769397841.528500 input_key_build: 0x10e1ae (KP-) is -
1769397841.528504 input_key_build: 0x10e1af (KP7) is 7
1769397841.528508 input_key_build: 0x10e1b0 (KP8) is 8
1769397841.528512 input_key_build: 0x10e1b1 (KP9) is 9
1769397841.528515 input_key_build: 0x10e1b2 (KP+) is +
1769397841.528520 input_key_build: 0x10e1b3 (KP4) is 4
1769397841.528523 input_key_build: 0x10e1b4 (KP5) is 5
1769397841.528527 input_key_build: 0x10e1b5 (KP6) is 6
1769397841.528532 input_key_build: 0x10e1b6 (KP1) is 1
1769397841.528536 input_key_build: 0x10e1b7 (KP2) is 2
1769397841.528541 input_key_build: 0x10e1b8 (KP3) is 3
1769397841.528546 input_key_build: 0x10e1b9 (KPEnter) is \n
1769397841.528551 input_key_build: 0x10e1ba (KP0) is 0
1769397841.528556 input_key_build: 0x10e1bb (KP.) is .
1769397841.528561 input_key_build: 0x200000000009 (C-Tab) is \t
1769397841.528566 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1769397841.528570 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1769397841.528576 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1769397841.528582 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1769397841.528586 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1769397841.528590 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1769397841.528596 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1769397841.528601 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1769397841.528606 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1769397841.528611 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1769397841.528616 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1769397841.528622 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1769397841.528627 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1769397841.528631 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1769397841.528636 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1769397841.528641 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1769397841.528646 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1769397841.528651 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1769397841.528656 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
